last_measure,pm10,pm10_level,co,co_level,no2,no2_level,pm25,pm25_level,
2019-06-13 00:00:00,19,moderate,6,good,18,good,9,good,
2019-06-13 00:00:00,19,moderate,68,good,49,good,8,good,
2019-06-13 00:00:00,13,good,2,good,25,good,4,good,
2019-06-10 00:00:00,8,good,87,good,12,good,6,good,
2018-12-18 00:00:00,31,unhealthy-low,721,good,21,good,148,unhealthy-high,
2018-12-12 00:00:00,26,moderate,172,good,14,good,22,unhealthy-low,
2019-06-10 00:00:00,41,unhealthy-low,286,good,63,good,32,unhealthy,
2019-06-10 00:00:00,17,moderate,125,good,29,good,13,moderate,
2018-06-11 00:00:00,14,good,78,good,37,good,14,moderate,
2019-06-13 00:00:00,12,good,312,good,6,good,10,moderate,
2019-06-10 00:00:00,17,moderate,80,good,15,good,9,good,
2018-07-05 00:00:00,9,good,32,good,6,good,8,good,
2019-06-10 00:00:00,32,unhealthy-low,2879,good,97,moderate,232,unhealthy-high,
2018-12-12 00:00:00,52,unhealthy,999,good,9,good,148,unhealthy-high,
2018-09-18 00:00:00,21,moderate,78,good,5,good,17,unhealthy-low,
2018-04-27 00:00:00,22,moderate,33,good,8,good,17,unhealthy-low,
2018-08-02 00:00:00,17,moderate,154,good,2,good,15,unhealthy-low,
2018-08-02 00:00:00,12,good,193,good,4,good,11,moderate,
2018-11-06 00:00:00,18,moderate,43,good,5,good,15,unhealthy-low,
2018-08-02 00:00:00,12,good,137,good,2,good,11,moderate,
2018-12-14 00:00:00,12,good,1053,good,10,good,11,moderate,
2019-06-13 00:00:00,10,good,336,good,3,good,9,good,
2018-06-23 00:00:00,97,unhealthy-high,550,good,26,good,52,unhealthy-high,
2018-08-02 00:00:00,25,moderate,129,good,3,good,24,unhealthy-low,
2018-12-16 00:00:00,10,good,371,good,0,good,8,good,
2018-08-02 00:00:00,14,good,157,good,3,good,12,moderate,
2018-04-27 00:00:00,21,moderate,84,good,8,good,17,unhealthy-low,
2018-08-02 00:00:00,15,moderate,173,good,2,good,14,moderate,
2018-11-14 00:00:00,20,moderate,303,good,10,good,18,unhealthy-low,
2018-09-19 00:00:00,16,moderate,45,good,9,good,13,moderate,
2018-07-27 00:00:00,20,moderate,377,good,8,good,18,unhealthy-low,
2018-08-02 00:00:00,12,good,149,good,2,good,11,moderate,
2018-11-05 00:00:00,24,moderate,148,good,8,good,20,unhealthy-low,
2018-11-14 00:00:00,7,good,0,good,0,good,6,good,
2018-08-02 00:00:00,13,good,170,good,2,good,12,moderate,
2018-09-19 00:00:00,19,moderate,80,good,9,good,15,unhealthy-low,
2018-08-02 00:00:00,12,good,135,good,2,good,11,moderate,
2018-12-16 00:00:00,13,good,5946,moderate,18,good,12,moderate,
2019-06-13 00:00:00,13,good,698,good,0,good,11,moderate,
2018-08-02 00:00:00,15,moderate,271,good,3,good,14,moderate,
2018-11-22 00:00:00,6,good,133,good,0,good,5,good,
2018-12-14 00:00:00,21,moderate,366,good,12,good,19,unhealthy-low,
2018-09-19 00:00:00,18,moderate,159,good,7,good,17,unhealthy-low,
2018-09-19 00:00:00,21,moderate,201,good,8,good,17,unhealthy-low,
2018-11-14 00:00:00,16,moderate,167,good,2,good,15,unhealthy-low,
2019-06-13 00:00:00,15,moderate,696,good,0,good,13,moderate,
2018-12-16 00:00:00,9,good,64,good,8,good,8,good,
2018-07-05 00:00:00,8,good,42,good,5,good,7,good,
2018-02-16 00:00:00,19,moderate,123,good,8,good,17,unhealthy-low,
2018-08-02 00:00:00,13,good,172,good,2,good,12,moderate,
2019-06-11 00:00:00,338,unhealthy-high,2551,good,26,good,2644,unhealthy-high,
2018-07-05 00:00:00,10,good,41,good,6,good,9,good,
2018-08-02 00:00:00,14,good,157,good,3,good,13,moderate,
2018-05-03 00:00:00,8,good,2308,good,0,good,7,good,
2019-06-13 00:00:00,14,good,776,good,0,good,14,moderate,
2018-11-14 00:00:00,6,good,29,good,4,good,5,good,
2018-11-14 00:00:00,21,moderate,251,good,12,good,19,unhealthy-low,
2018-06-14 00:00:00,1018,unhealthy-high,1248,good,4,good,1132,unhealthy-high,
2018-04-27 00:00:00,24,moderate,35,good,9,good,20,unhealthy-low,
2018-11-14 00:00:00,14,good,198,good,9,good,13,moderate,
2018-02-16 00:00:00,23,moderate,156,good,8,good,20,unhealthy-low,
2018-11-19 00:00:00,34,unhealthy-low,86,good,11,good,28,unhealthy,
2018-04-12 00:00:00,34,unhealthy-low,370,good,5,good,30,unhealthy,
2018-01-25 00:00:00,17,moderate,138,good,5,good,16,unhealthy-low,
2018-02-16 00:00:00,22,moderate,179,good,6,good,19,unhealthy-low,
2018-11-14 00:00:00,13,good,149,good,2,good,12,moderate,
2018-07-24 00:00:00,352,unhealthy-high,2569,good,599,unhealthy-high,183,unhealthy-high,
2018-11-14 00:00:00,16,moderate,141,good,2,good,15,unhealthy-low,
2018-11-05 00:00:00,28,moderate,140,good,11,good,25,unhealthy,
2018-12-16 00:00:00,8,good,378,good,0,good,7,good,
2018-04-27 00:00:00,14,good,19,good,8,good,11,moderate,
2018-12-14 00:00:00,22,moderate,683,good,15,good,21,unhealthy-low,
2018-12-16 00:00:00,24,moderate,547,good,3,good,21,unhealthy-low,
2018-12-14 00:00:00,12,good,97,good,8,good,11,moderate,
2018-12-16 00:00:00,20,moderate,249,good,10,good,18,unhealthy-low,
2018-12-13 00:00:00,24,moderate,246,good,9,good,21,unhealthy-low,
2018-11-06 00:00:00,19,moderate,85,good,10,good,15,unhealthy-low,
2018-11-14 00:00:00,19,moderate,290,good,10,good,17,unhealthy-low,
2019-06-13 00:00:00,12,good,151,good,1,good,11,moderate,
2018-11-14 00:00:00,0,good,6513,unhealthy-low,0,good,0,good,
2018-08-02 00:00:00,15,moderate,176,good,2,good,14,moderate,
2018-01-25 00:00:00,15,moderate,94,good,5,good,14,moderate,
2018-02-05 00:00:00,27,moderate,191,good,9,good,24,unhealthy-low,
2018-11-14 00:00:00,13,good,121,good,7,good,12,moderate,
2018-11-05 00:00:00,541,unhealthy-high,0,good,60,good,250,unhealthy-high,
2018-12-14 00:00:00,17,moderate,222,good,6,good,15,unhealthy-low,
2018-05-02 00:00:00,23,moderate,259,good,5,good,20,unhealthy-low,
2018-08-02 00:00:00,12,good,182,good,2,good,11,moderate,
2018-04-27 00:00:00,13,good,13,good,7,good,10,moderate,
2018-11-06 00:00:00,21,moderate,82,good,10,good,17,unhealthy-low,
2018-08-01 00:00:00,16,moderate,197,good,2,good,14,moderate,
2018-04-26 00:00:00,25,moderate,162,good,0,good,22,unhealthy-low,
2018-01-31 00:00:00,20,moderate,10,good,4,good,17,unhealthy-low,
2018-09-19 00:00:00,14,good,173,good,1,good,13,moderate,
2019-06-10 00:00:00,19,moderate,912,good,14,good,18,unhealthy-low,
2018-12-14 00:00:00,6,good,12272,unhealthy,52,good,5,good,
2018-12-14 00:00:00,6,good,2957,good,4,good,6,good,
2018-09-19 00:00:00,48,unhealthy-low,54,good,12,good,44,unhealthy-high,
2018-08-02 00:00:00,13,good,205,good,2,good,12,moderate,
2018-09-29 00:00:00,20,moderate,319,good,10,good,18,unhealthy-low,
2018-04-27 00:00:00,20,moderate,42,good,9,good,16,unhealthy-low,
2018-04-26 00:00:00,21,moderate,368,good,14,good,19,unhealthy-low,
2018-12-14 00:00:00,27,moderate,533,good,12,good,25,unhealthy,
2018-12-18 00:00:00,61,unhealthy,2174,good,58,good,324,unhealthy-high,
2018-08-01 00:00:00,15,moderate,185,good,2,good,14,moderate,
2018-12-16 00:00:00,8,good,47,good,9,good,7,good,
2018-09-19 00:00:00,13,good,47,good,8,good,12,moderate,
2018-02-14 00:00:00,30,unhealthy-low,178,good,9,good,26,unhealthy,
2018-01-12 00:00:00,4,good,38,good,5,good,4,good,
2018-12-13 00:00:00,17,moderate,166,good,8,good,15,unhealthy-low,
2018-02-13 00:00:00,43,unhealthy-low,190,good,5,good,36,unhealthy,
2018-12-16 00:00:00,7,good,261,good,0,good,6,good,
2018-05-04 00:00:00,20,moderate,327,good,10,good,17,unhealthy-low,
2018-03-15 00:00:00,13,good,60,good,6,good,12,moderate,
2018-03-15 00:00:00,62,unhealthy,89,good,7,good,55,unhealthy-high,
2018-12-16 00:00:00,17,moderate,432,good,12,good,15,unhealthy-low,
2019-06-13 00:00:00,30,unhealthy-low,119,good,8,good,25,unhealthy,
